pair_id,nb_classes_v1,nb_classes_v2,delta_classes,nb_added_classes,nb_removed_classes,nb_attributes_v1,nb_attributes_v2,delta_attributes,nb_added_attributes,nb_removed_attributes,nb_type_changes,nb_references_v1,nb_references_v2,delta_references,nb_added_references,nb_removed_references,nb_multiplicity_changes,nb_containment_changes,nb_abstract_changes,nb_supertype_changes,nsuri_changed,label
augmented_0031_eattribute_added_from_add_eclass4__add_eclass4_v1__to__add_eclass4_v2,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0032_eattribute_removed_from_add_eclass4__add_eclass4_v1__to__add_eclass4_v2,1,1,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0033_eattribute_type_changed_from_add_eclass4__add_eclass4_v1__to__add_eclass4_v2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0034_eclass_abstract_changed_from_add_eclass4__add_eclass4_v1__to__add_eclass4_v2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0035_eclass_added_from_add_eclass5__add_eclass5_v1__to__add_eclass5_v2,1,2,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0036_eattribute_added_from_add_eclass5__add_eclass5_v1__to__add_eclass5_v2,1,1,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0037_eattribute_removed_from_add_eclass5__add_eclass5_v1__to__add_eclass5_v2,1,1,0,0,0,2,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0038_eattribute_type_changed_from_add_eclass5__add_eclass5_v1__to__add_eclass5_v2,1,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0039_eclass_abstract_changed_from_add_eclass5__add_eclass5_v1__to__add_eclass5_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0040_eclass_added_from_add_eclass__add_eclass_v1__to__add_eclass_v2,1,2,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0041_eattribute_added_from_add_eclass__add_eclass_v1__to__add_eclass_v2,1,1,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0042_eattribute_removed_from_add_eclass__add_eclass_v1__to__add_eclass_v2,1,1,0,0,0,2,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0043_eattribute_type_changed_from_add_eclass__add_eclass_v1__to__add_eclass_v2,1,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0044_eclass_abstract_changed_from_add_eclass__add_eclass_v1__to__add_eclass_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0045_eclass_added_from_add_reference2__add_reference2_v1__to__add_reference2_v2,2,3,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0046_eclass_removed_from_add_reference2__add_reference2_v1__to__add_reference2_v2,2,1,-1,0,1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0047_eattribute_added_from_add_reference2__add_reference2_v1__to__add_reference2_v2,2,2,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0048_eattribute_removed_from_add_reference2__add_reference2_v1__to__add_reference2_v2,2,2,0,0,0,2,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0049_eattribute_type_changed_from_add_reference2__add_reference2_v1__to__add_reference2_v2,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0050_ereference_added_from_add_reference2__add_reference2_v1__to__add_reference2_v2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0051_eclass_abstract_changed_from_add_reference2__add_reference2_v1__to__add_reference2_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0052_eclass_added_from_add_reference3__add_reference3_v1__to__add_reference3_v2,2,3,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0053_eclass_removed_from_add_reference3__add_reference3_v1__to__add_reference3_v2,2,1,-1,0,1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0054_eattribute_added_from_add_reference3__add_reference3_v1__to__add_reference3_v2,2,2,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0055_eattribute_removed_from_add_reference3__add_reference3_v1__to__add_reference3_v2,2,2,0,0,0,2,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0056_eattribute_type_changed_from_add_reference3__add_reference3_v1__to__add_reference3_v2,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0057_ereference_added_from_add_reference3__add_reference3_v1__to__add_reference3_v2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0058_eclass_abstract_changed_from_add_reference3__add_reference3_v1__to__add_reference3_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0059_eclass_added_from_add_reference4__add_reference4_v1__to__add_reference4_v2,3,4,1,1,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0060_eclass_removed_from_add_reference4__add_reference4_v1__to__add_reference4_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0061_eattribute_added_from_add_reference4__add_reference4_v1__to__add_reference4_v2,3,3,0,0,0,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0062_eattribute_removed_from_add_reference4__add_reference4_v1__to__add_reference4_v2,3,3,0,0,0,4,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0063_eattribute_type_changed_from_add_reference4__add_reference4_v1__to__add_reference4_v2,3,3,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0064_ereference_added_from_add_reference4__add_reference4_v1__to__add_reference4_v2,3,3,0,0,0,4,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0065_eclass_abstract_changed_from_add_reference4__add_reference4_v1__to__add_reference4_v2,3,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0066_eclass_added_from_add_reference__add_reference_v1__to__add_reference_v2,2,3,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0067_eclass_removed_from_add_reference__add_reference_v1__to__add_reference_v2,2,1,-1,0,1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0068_eattribute_added_from_add_reference__add_reference_v1__to__add_reference_v2,2,2,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0069_eattribute_removed_from_add_reference__add_reference_v1__to__add_reference_v2,2,2,0,0,0,2,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0070_eattribute_type_changed_from_add_reference__add_reference_v1__to__add_reference_v2,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0071_ereference_added_from_add_reference__add_reference_v1__to__add_reference_v2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0072_eclass_abstract_changed_from_add_reference__add_reference_v1__to__add_reference_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0073_eclass_added_from_add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,4,1,1,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0074_eclass_removed_from_add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0075_eattribute_added_from_add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,3,0,0,0,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0076_eattribute_removed_from_add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,3,0,0,0,4,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0077_eattribute_type_changed_from_add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,3,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0078_ereference_added_from_add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,3,0,0,0,4,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0079_eclass_abstract_changed_from_add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0080_eclass_supertype_added_from_add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ECLASS_SUPERTYPE_ADDED
augmented_0081_eclass_added_from_add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,4,1,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0082_eclass_removed_from_add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,2,-1,0,1,3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0083_eattribute_added_from_add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,3,0,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0084_eattribute_removed_from_add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,3,0,0,0,3,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0085_eattribute_type_changed_from_add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,3,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0086_ereference_added_from_add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,3,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0087_eclass_abstract_changed_from_add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0088_eclass_supertype_added_from_add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ECLASS_SUPERTYPE_ADDED
augmented_0089_eclass_added_from_add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,4,1,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0090_eclass_removed_from_add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,2,-1,0,1,3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0091_eattribute_added_from_add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,3,0,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0092_eattribute_removed_from_add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,3,0,0,0,3,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0093_eattribute_type_changed_from_add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,3,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0094_ereference_added_from_add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,3,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0095_eclass_abstract_changed_from_add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0096_eclass_supertype_added_from_add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ECLASS_SUPERTYPE_ADDED
augmented_0097_eclass_added_from_add_supertype__add_supertype_v1__to__add_supertype_v2,2,3,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0098_eclass_removed_from_add_supertype__add_supertype_v1__to__add_supertype_v2,2,1,-1,0,1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0099_eattribute_added_from_add_supertype__add_supertype_v1__to__add_supertype_v2,2,2,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0100_eattribute_removed_from_add_supertype__add_supertype_v1__to__add_supertype_v2,2,2,0,0,0,2,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0101_eattribute_type_changed_from_add_supertype__add_supertype_v1__to__add_supertype_v2,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0102_ereference_added_from_add_supertype__add_supertype_v1__to__add_supertype_v2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0103_eclass_abstract_changed_from_add_supertype__add_supertype_v1__to__add_supertype_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0104_eclass_supertype_added_from_add_supertype__add_supertype_v1__to__add_supertype_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ECLASS_SUPERTYPE_ADDED
augmented_0105_eclass_added_from_change_abstract2__change_abstract2_v1__to__change_abstract2_v2,2,3,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0106_eclass_removed_from_change_abstract2__change_abstract2_v1__to__change_abstract2_v2,2,1,-1,0,1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0107_eattribute_added_from_change_abstract2__change_abstract2_v1__to__change_abstract2_v2,2,2,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0108_eattribute_removed_from_change_abstract2__change_abstract2_v1__to__change_abstract2_v2,2,2,0,0,0,2,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0109_eattribute_type_changed_from_change_abstract2__change_abstract2_v1__to__change_abstract2_v2,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0110_ereference_added_from_change_abstract2__change_abstract2_v1__to__change_abstract2_v2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0111_eclass_abstract_changed_from_change_abstract2__change_abstract2_v1__to__change_abstract2_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0112_eclass_added_from_change_abstract3__change_abstract3_v1__to__change_abstract3_v2,2,3,1,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0113_eclass_removed_from_change_abstract3__change_abstract3_v1__to__change_abstract3_v2,2,1,-1,0,1,3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0114_eattribute_added_from_change_abstract3__change_abstract3_v1__to__change_abstract3_v2,2,2,0,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0115_eattribute_removed_from_change_abstract3__change_abstract3_v1__to__change_abstract3_v2,2,2,0,0,0,3,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0116_eattribute_type_changed_from_change_abstract3__change_abstract3_v1__to__change_abstract3_v2,2,2,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0117_ereference_added_from_change_abstract3__change_abstract3_v1__to__change_abstract3_v2,2,2,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0118_eclass_abstract_changed_from_change_abstract3__change_abstract3_v1__to__change_abstract3_v2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0119_eclass_added_from_change_abstract4__change_abstract4_v1__to__change_abstract4_v2,2,3,1,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0120_eclass_removed_from_change_abstract4__change_abstract4_v1__to__change_abstract4_v2,2,1,-1,0,1,3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0121_eattribute_added_from_change_abstract4__change_abstract4_v1__to__change_abstract4_v2,2,2,0,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0122_eattribute_removed_from_change_abstract4__change_abstract4_v1__to__change_abstract4_v2,2,2,0,0,0,3,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0123_eattribute_type_changed_from_change_abstract4__change_abstract4_v1__to__change_abstract4_v2,2,2,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0124_ereference_added_from_change_abstract4__change_abstract4_v1__to__change_abstract4_v2,2,2,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0125_eclass_abstract_changed_from_change_abstract4__change_abstract4_v1__to__change_abstract4_v2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0126_eclass_added_from_change_abstract__change_abstract_v1__to__change_abstract_v2,2,3,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0127_eclass_removed_from_change_abstract__change_abstract_v1__to__change_abstract_v2,2,1,-1,0,1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0128_eattribute_added_from_change_abstract__change_abstract_v1__to__change_abstract_v2,2,2,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0129_eattribute_removed_from_change_abstract__change_abstract_v1__to__change_abstract_v2,2,2,0,0,0,2,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0130_eattribute_type_changed_from_change_abstract__change_abstract_v1__to__change_abstract_v2,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0131_ereference_added_from_change_abstract__change_abstract_v1__to__change_abstract_v2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
